City,Population as of (2010  Census),State,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
El Segundo,16654,CA,2641,249300,250200,250200,250900,252700,253700,254700,256000,256300,256600,258400,260100,260900,261100,261800,263300,264500,265300,267000,270500,275700,281200,285800,290400,294500,297900,301100,304200,306400,309500,313000,315200,315900,316900,316900,314900,311000,310600,315400,320800,324300,326900,328000,329800,333900,339600,346500,353200,359600,363500,364800,368100,375500,383800,391100,395400,395200,394300,393800,394700,395700,398700,403700,407700,407200,405400,405900,408300,413800,420300,426700,432700,440300,445400,447200,449100,454000,460300,467200,474800,480800,483600,484100,485700,491400,499800,505700,511700,520500,531600,545400,562600,580100,595700,608900,618600,627900,641300,657700,670900,680600,683800,682700,684200,691500,701900,716900,734500,747900,759800,775300,789900,799100,809900,817600,814100,805100,800500,802300,807600,810200,809000,804900,799600,795300,793700,792100,791100,791000,791700,791700,791500,791400,787000,778600,771600,767700,764400,761900,756900,753500,751400,745900,735500,727300,720200,713100,707000,701800,697100,693300,689300,686600,687100,686800,682400,675700,667900,662600,664200,669300,674300,677200,680400,678500,674200,673100,672600,667400,664500,665000,670200,678700,683300,682800,687300,693700,693600,685800,685000,690500,694200,696200,690300,676900,666300,668100,673100,673900,666500,660200,659100,665900,679500,693300,702600,707500,710000,711900,716500,724500,734700,746000,754500,760400,766900,772000,778000,787900,793600,786800,775600,769000,769600,771000,771900,772700,772100,769700,769900,773000,779600,787300,791400,799500,816000,839000,864200,884400,895100,902300,907800,908000,909700,921600,938700,953500,968200,986100,997600,1004300,1012400,1031500,1053500,1070900,1088700,1108100,1117700,1120600,1127600,1138200,1150000,1159800,1169800,1172400,1165700,1164000,1175500,1188200,1201900,1217300,1230600,1235900
Gardena,58829,CA,705,147100,147200,146900,146000,145400,145200,145700,146300,147200,148200,148700,149000,149200,149200,149200,149600,149900,150000,150200,150800,151500,152500,153900,155100,155900,156700,157300,157900,158700,159800,161400,162800,163700,163900,164400,165500,166600,167700,168500,169000,169400,169900,170200,170700,171800,173900,175600,176900,177700,178600,179800,181500,182900,183800,185000,186600,188100,190100,192400,194600,197100,200000,202800,204600,205200,206200,208400,210900,213500,216600,220300,223900,226700,229200,232400,236200,240300,244300,248300,252800,257000,259900,262300,266000,270600,275400,280400,285700,291700,297900,303800,308900,314900,322800,331600,339700,347600,355700,363200,371600,381800,391000,397800,403800,409300,414300,419000,424400,430400,436800,443600,451100,458400,465800,472900,479500,485200,488700,491200,494800,499300,504200,508800,511900,513300,512900,511400,509700,509200,509500,509000,505700,502200,499600,497500,493900,489300,485500,482100,476700,469600,462800,454700,443800,431500,420200,407800,395700,385900,378600,371700,364900,358500,353000,347300,340600,333400,325800,320300,318000,316700,316200,317200,318800,318500,317000,318000,321700,324500,325600,326000,325500,323500,319400,315900,315500,317000,317500,317100,316800,316700,315900,314600,312800,310800,308800,306500,303900,302300,300700,299300,299100,301100,305200,309000,310900,312300,314000,315100,316200,318200,321000,324600,329300,334100,339200,345400,352200,358000,363200,367200,369600,371800,375900,380400,384000,386400,387300,387600,390600,394400,397000,399800,401700,402800,404600,407200,409000,411800,415600,419100,421500,423300,425200,427700,431400,436600,442800,448100,452100,455300,458300,460000,460900,463600,469300,475600,480400,482700,483700,486300,489800,494000,498700,503900,508000,512700,518200,523100,527600,532600,536000,536500
Glendale,191719,CA,121,202400,203400,204700,205400,205500,205600,205300,204700,204600,206200,207600,207600,206700,206300,206300,207500,209500,212200,215300,218700,221700,225100,228700,231100,232500,234800,237400,239500,241600,243500,245900,248400,249700,250200,251400,252900,254800,257900,261300,263900,266000,267800,269000,270200,271700,273600,275500,278400,281400,283500,284900,287000,289000,290600,292300,294900,298400,302100,305600,308800,311000,311700,312400,314600,317600,320300,322900,325600,327700,330400,333500,337500,343000,350100,357100,362900,367100,371900,377800,385300,393100,399700,404800,409200,413200,417200,422000,427800,435100,442600,449700,456300,463900,472500,482600,493700,506100,518600,530300,540300,549700,558100,565500,572200,578900,586100,594600,603100,611800,621500,630200,637500,645200,653800,662000,669300,674500,677800,679800,680800,681000,682600,685900,688200,687700,686500,684600,681400,678100,677900,679200,680400,679800,677200,673300,669300,665100,659300,653100,646400,640700,634900,627700,618400,608400,597700,586100,575700,568200,563000,558900,556000,554300,553300,550900,546700,541900,536300,531500,529500,529900,531800,534000,536000,535400,533500,533000,532600,530400,528400,526900,525600,526700,529000,531400,531500,530500,528400,526100,523300,520200,516100,514000,514200,513100,509200,503500,498500,494800,491900,489800,491700,496400,501000,504200,508000,510400,510200,511000,515000,520000,524900,528900,533500,541400,554700,568700,577400,580900,584800,588700,592200,595300,598700,602700,608800,615500,622100,627700,632300,635500,638200,641600,646400,652100,658300,665300,670700,672500,672700,674100,676300,679100,683000,688100,692900,697300,701600,707200,713900,722600,728500,731600,733100,735500,738700,742500,746500,751300,756800,762700,767500,770700,773000,775000,776600,780800,788200,794500,798300,803400,811300,816500
Glendora,50073,CA,850,176600,176900,176700,176600,176700,176600,176300,176000,175700,176100,177200,178300,178600,178700,178900,179200,179700,180800,182000,183200,184500,185900,187200,188700,190000,191000,191300,192100,193200,194300,196000,198200,199500,200400,201700,202600,203500,204800,206400,207700,209400,211600,213800,215800,218000,220700,223200,224900,226400,229200,232100,233900,235100,235900,236400,237500,239700,242300,245300,248500,251300,254900,259100,262900,265400,267800,269500,270800,273100,277200,281800,286000,289700,292200,293900,296300,300200,305100,310300,315800,320700,324900,328700,333400,337800,340700,343100,346900,352200,358900,366600,373200,378500,384100,390600,398000,407200,418400,429500,439600,447700,453900,459200,465400,473000,480400,485700,488700,491200,496200,503800,511500,518500,524100,528800,533600,537500,539300,541300,544600,547600,549300,552100,556000,557900,557800,558300,559100,558300,556400,555500,554900,553400,550100,545500,540500,535900,532000,528200,522600,514400,506000,497500,488500,479400,471500,463500,456100,450600,446500,442400,438900,435000,431500,428600,425600,421800,417600,414000,411800,410800,410000,409900,410100,413300,416400,417000,414100,413400,413800,414900,415200,415400,414100,412300,410800,409300,407800,406400,406800,406200,403700,399200,394400,389700,385400,380400,377500,378100,380100,381600,383900,386200,389000,392700,396300,398400,400300,402000,403700,404800,406800,410700,416900,424100,431700,438600,444500,450200,457500,464700,470300,474000,477200,479100,480300,483400,488500,493000,496200,499400,502700,505500,504800,503000,503600,507800,512700,515000,514700,514400,514600,515400,516600,519300,523600,528200,532000,536200,540500,544200,547100,550500,552800,552600,551600,553000,556400,558800,559100,559800,562300,565000,567600,570600,574900,580800,586800,591200,595200,598000,601000,603200
Hawaiian Gardens,14254,CA,3145,110600,110600,110200,108700,107200,106400,106300,106400,106800,107000,107100,107900,109000,109500,110300,112300,114500,115400,115500,116700,119000,121400,122900,123500,123300,123800,124300,124500,124100,124600,125800,126900,126900,126400,126200,126600,127200,127800,128500,129300,130000,129900,129400,129200,129200,129500,130300,131400,132200,132500,133400,134700,135800,136700,137900,138600,139500,141100,144000,147000,148900,149900,150800,152200,153300,153800,154300,156000,158100,160000,161500,162400,163500,165200,167300,169600,172300,175300,178300,181000,183200,185200,187300,189600,191700,193100,193900,195200,198200,203000,208400,213400,220200,229000,237000,245200,256900,270900,283300,293000,302100,311500,319300,325300,329200,333600,339800,346500,351300,355200,359100,363500,369500,377000,384600,392500,400500,405500,407100,407100,408200,412100,418800,425300,428600,428500,428200,427100,425100,424800,425600,426300,427400,428100,425400,421400,416300,410400,405400,403000,399000,390200,381200,374500,366900,356500,346000,334900,323300,311600,300600,290300,280000,270400,261300,251900,241800,231100,221500,216400,214100,211200,208400,207700,207200,205800,204100,201500,198100,197200,198900,200000,201500,204500,205800,203600,201300,201300,202200,203200,204300,204200,202600,201500,200300,199100,198600,198700,198900,198000,194900,192200,191900,193700,196400,197700,197700,198800,200100,201600,204700,208400,214000,223000,233000,240600,244800,247800,251300,254300,257200,259700,263600,270500,279200,284500,287500,291600,294900,295600,296900,298300,298200,297500,297200,298200,300200,300500,299600,299700,300000,300400,301600,304000,306800,310600,313900,316700,320100,325000,328900,328400,338700,357600,366200,363400,365000,367600,369200,370300,369000,367300,368400,373600,373300,367800,364800,367100,371000,378200,382800,381700,379300
Hawthorne,84293,CA,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367900,366600,365800,363400,360100,357500,356100,355500,354800,355300,356000,356300,355300,354500,354800,356300,354800,349800,344800,342400,342600,345100,347700,350600,353600,355700,356800,361000,365500,367500,371000,379900,389400,396800,402900,409100,415200,420000,423700,427300,428000,428700,432200,435600,437800,441700,445900,449200,451700,453200,453700,453400,454300,456800,459800,463400,467400,470800,474200,478700,483500,487800,491500,494600,496100,497200,500400,505500,511200,516100,521900,527200,528600,529000,534200,541600,547400,552200,556400,560500,564600,568600,571500,573500,577400,583800,589100,594400,599200,602600,604600
Hermosa Beach,19506,CA,2459,324500,320700,319800,319900,319700,320000,320600,322000,324600,327300,328700,328800,329300,332300,336500,340900,344300,347900,351600,357000,364900,373800,380100,384400,390100,398400,405700,409500,412800,418800,425900,430400,433200,435900,439100,442100,444300,445300,446500,448800,452100,453500,456300,463200,471500,476300,480600,489000,504300,516900,522400,524900,528400,529700,529200,528500,528200,529700,532700,534900,534400,532400,531500,535300,543000,550000,555000,561900,568900,575100,580400,584300,587000,593000,601400,613800,625800,635700,643800,650300,654100,660900,671400,684600,694300,696300,695400,698300,708700,723200,737700,753400,774300,793700,808600,820600,835300,854400,875700,892700,903600,915700,931300,941000,941300,943300,954300,969900,983200,999300,1024000,1044700,1060500,1079700,1098400,1108100,1115800,1117200,1110200,1106600,1113500,1123800,1130200,1128600,1115600,1095500,1077400,1066800,1060700,1060800,1067700,1074100,1077500,1080100,1077300,1070100,1064400,1061300,1057500,1052000,1045700,1039400,1029900,1015400,1000600,986700,974300,965800,960700,955600,952100,950700,950200,949400,946400,940200,930500,918200,904300,893100,888000,888400,893300,902100,906700,905100,902100,899000,895100,891400,888600,888000,887800,885400,881100,876400,877300,880300,877300,872300,868400,862300,860900,864000,866100,863700,861800,861300,859600,856800,863200,874100,881800,891500,901700,912500,922500,928500,925800,927800,934400,945300,957200,971700,986600,1008900,1042000,1069000,1081600,1088100,1090600,1082500,1079300,1091800,1113800,1133900,1149300,1158600,1167300,1178500,1184500,1188500,1195700,1203600,1216900,1229300,1227200,1225800,1245700,1271800,1290300,1308100,1324200,1334100,1349100,1371200,1387200,1396000,1407500,1426600,1439700,1439400,1406700,1370000,1371100,1408200,1438500,1457400,1465500,1467200,1468400,1469900,1474200,1481700,1490800,1492600,1495600,1503500,1527200,1557000,1578600,1585400,1590500
Hidden Hills,1856,CA,11047,1137500,1131500,1117800,1109700,1106700,1106300,1108900,1112400,1116000,1115400,1119700,1135300,1153200,1159400,1161800,1167300,1163500,1155900,1155200,1160900,1167700,1179800,1191100,1198000,1207700,1228300,1248200,1257300,1267900,1285600,1307500,1323400,1326900,1326800,1335000,1337100,1334400,1338200,1351300,1371600,1398600,1420200,1430000,1435500,1443500,1450700,1457300,1471400,1490600,1497700,1496600,1496800,1500400,1503400,1507300,1514500,1530800,1546600,1558300,1564900,1569600,1574300,1579900,1590300,1602100,1608800,1612900,1627100,1643800,1655800,1663800,1674900,1679900,1679900,1684100,1688000,1691700,1699400,1710500,1720000,1735800,1755800,1775900,1794000,1808300,1813600,1816400,1828100,1846100,1869800,1892400,1909900,1925000,1947400,1968200,1990500,2021800,2055700,2086600,2117500,2143900,2167800,2194400,2217800,2237600,2253200,2267800,2285000,2312200,2349500,2376300,2389900,2401300,2412900,2427200,2452800,2473400,2486200,2506200,2515100,2516900,2547200,2607500,2657800,2699600,2731000,2745200,2753400,2754200,2755400,2758000,2771700,2792200,2813000,2811600,2794100,2772200,2759200,2756900,2752400,2733600,2712200,2695400,2675300,2643100,2626300,2635100,2640200,2622200,2601300,2585200,2572200,2558900,2546400,2539200,2537100,2534700,2525200,2508000,2484200,2459600,2438500,2429700,2411200,2416900,2442800,2462400,2466500,2468200,2424700,2382000,2396900,2415800,2397300,2365200,2328000,2327500,2355600,2364300,2353800,2354500,2365400,2364000,2314200,2271900,2281400,2290100,2305300,2307600,2274500,2232800,2232600,2270500,2315000,2327000,2342400,2411900,2476500,2532100,2597500,2627700,2611300,2621900,2648100,2646700,2632300,2660000,2730500,2782000,2796900,2799900,2797700,2794100,2811600,2840500,2852800,2815300,2789500,2812600,2855200,2861900,2862900,2842100,2823300,2816900,2860900,2906800,2920100,2911900,2932700,2956600,2957400,2934600,2915500,2911900,2900700,2900300,2917800,2947700,2984200,3024800,3064100,3023300,2946300,2934900,2996100,3054100,3095400,3126600,3151600,3145900,3131100,3158500,3189700,3223400,3243800,3245900,3236800,3310800,3437900,3516800,3517700,3533300
Huntington Park,58114,CA,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252300,249600,248800,248600,246000,242100,240500,241100,242500,244300,245400,245200,243300,240900,239800,240000,238800,237200,237000,239400,242100,245200,248300,251600,255300,259200,261300,262800,264100,265600,268600,274000,280200,287400,294400,299800,304200,307100,308800,311100,313100,314500,316500,319000,320500,322100,325000,329100,333500,337500,341000,343900,345900,346600,347400,349500,352900,355600,356200,356600,357900,360000,362500,364600,365500,366900,370500,374600,377000,378700,380300,381000,383000,386300,390300,395600,401200,403700,405300,408200,412000,415800,418700,420500,423100,427500,432500,439700,445600,449000,450800
Industry,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inglewood,109673,CA,208,144600,145100,144700,143900,143400,143200,143000,142700,142600,143000,143700,144500,144500,144100,144200,144600,144600,144700,144700,145000,145900,147200,148300,149200,150200,151300,151900,152000,152400,153400,154800,155800,156200,156400,156900,157300,157600,158200,158700,159300,159900,160200,160600,161400,162200,163500,165200,166400,167200,168300,169900,171800,173400,174600,175700,176800,178300,180200,181700,182900,184300,186300,188300,190200,192000,194100,196600,199200,201000,202400,204500,207100,209700,212900,216300,218600,220700,223500,227200,230900,234400,237700,241200,244700,248400,252100,256000,261100,267000,273100,278000,282000,287000,293700,301700,310700,319800,327700,335100,343100,350500,356400,362200,369600,377900,385600,392200,399000,405600,411000,416100,422300,430300,438900,447200,456000,465200,471400,474500,477300,482200,489300,496800,502500,505600,507700,509200,509700,509400,509700,510900,511800,511500,510400,508600,506100,503000,499300,495500,490400,482400,473100,462800,450600,437700,425800,413800,401900,390900,381200,372100,363000,354200,346000,338000,329800,321400,312300,304100,298600,295700,293600,291900,290200,288900,288300,289200,289900,289400,288600,287700,285600,282800,279900,277400,276500,276500,276400,275600,274500,273000,272100,271500,271500,271100,269900,268000,265700,264100,263300,263500,264800,266900,269900,273300,275800,277900,280500,283600,286800,289500,291700,294500,299000,304200,309800,315500,321100,325900,330200,333000,335200,338000,341800,344600,347200,350900,355400,358100,360000,362500,366300,370900,374800,376900,378500,382100,386700,390200,391800,392700,393900,396000,398500,400600,402900,406000,409800,412600,414700,417800,419900,426200,434300,437900,436700,438300,441500,445700,449000,452100,457200,464700,473100,479000,482600,487300,493200,497900,503100,510400,518400,523500
Irwindale,1422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Canada Flintridge,20246,CA,2315,412100,413000,414200,413800,412300,411700,411300,413000,415400,417600,419400,421100,423600,429400,436200,441500,445200,449200,453200,459200,466200,471500,474700,478500,481800,485400,491300,500000,509300,519500,528200,533000,534500,535800,539700,545600,550900,554600,560400,567700,573900,578000,581700,583100,585900,592000,597400,599600,602000,605900,611200,617800,625300,629100,628600,626800,626700,629400,637300,646300,653800,657500,657200,655300,653500,655300,661600,667500,670000,672900,677800,683300,688900,692300,692400,694100,701800,713000,729800,751700,771200,785400,798700,812100,821800,830000,838100,842000,842200,851600,867000,883600,900000,917700,929800,936600,942400,951900,963200,975500,994300,1011600,1018100,1021000,1029900,1040900,1055200,1079100,1105000,1129500,1163600,1207900,1238400,1244200,1243800,1241400,1241900,1242300,1240300,1236600,1245800,1256900,1262900,1263300,1267400,1274800,1280400,1285300,1288700,1289900,1294700,1304400,1316700,1330100,1337600,1338900,1332800,1320400,1311600,1303900,1285100,1263200,1244900,1229900,1215500,1201900,1182300,1161900,1147600,1142900,1140800,1137800,1130900,1125200,1121500,1115400,1102500,1087500,1077200,1077500,1083800,1090200,1093600,1092700,1103500,1124000,1132000,1120000,1108000,1098300,1089100,1079000,1073500,1065800,1058200,1057600,1062700,1066500,1068700,1066000,1061900,1060000,1062400,1065500,1067700,1071100,1066700,1062600,1063400,1063000,1054000,1053800,1058800,1071900,1082500,1086300,1080900,1075800,1081400,1097600,1107400,1107900,1124600,1160400,1192700,1212000,1237600,1259000,1272100,1285100,1297500,1297600,1299500,1306900,1320500,1333200,1342600,1354000,1369800,1379500,1380700,1379700,1384700,1391300,1397400,1407900,1424600,1440300,1455600,1461700,1464700,1474100,1489900,1507000,1515300,1511600,1508000,1511600,1517400,1529100,1546700,1562800,1560500,1562400,1583300,1612200,1645200,1688700,1717800,1729700,1726200,1714400,1706500,1706200,1708400,1711100,1717700,1729100,1752700,1782200,1803200,1816400,1829400
La Habra Heights,5325,CA,6228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872800,858600,846200,838800,827600,817900,823200,837100,846100,850900,855100,848400,835200,835400,844200,842300,834000,830200,832100,842500,843800,841900,843600,848200,852000,861800,867300,880900,898300,900600,899600,919600,942500,956400,973300,988900,989700,974400,981500,1008800,1020100,1012700,1018500,1040700,1062300,1061800,1054800,1065000,1068100,1069000,1097700,1132300,1141200,1136500,1125900,1113900,1107400,1107700,1108000,1113800,1119800,1116800,1097400,1079000,1051500,1018200,994300,979900,964100,951700,930800,910200,912200,925500,921400,908600,899900,902100,909400,911500,909300,920000,942300,962600,981300,997100,1006200,1014300,1022000,1027700,1032900
La Mirada,48527,CA,953,168000,169100,169600,169400,168600,167900,167200,167000,167300,168400,169400,169600,169700,169900,169800,169800,170100,170400,170600,171100,171800,173100,175200,177100,178000,178700,179700,180500,181100,182100,183900,185900,187300,188600,190200,191800,192600,192900,193400,195000,197400,199700,201600,203400,205500,207500,209500,210600,211500,213500,216000,218500,220800,223100,224900,226300,227400,229400,231600,233700,236200,239200,241400,242800,244600,247000,249000,250900,253300,256100,259400,262700,266100,270100,274400,278900,283700,288500,294200,301100,307800,313000,317200,321800,327000,331300,335200,339800,344900,350200,355500,361900,369600,378200,386600,395700,405400,415000,425600,436800,445400,451700,457700,462800,468000,474700,480500,484200,488000,493200,499600,506100,514100,523400,533100,540700,545400,547400,550500,555400,559100,561800,564000,565000,564400,563000,560100,556600,553800,552000,551300,550800,549800,547700,544400,539000,531600,523400,515700,507800,497800,487500,476500,464400,452500,441400,429200,418700,411700,406900,401900,397400,393700,390600,387800,384500,380500,375600,371700,370100,370100,370400,370700,371500,373200,375100,378500,382000,384900,387800,391200,391500,389800,385900,381500,378000,376500,374500,371400,368800,366900,364200,359900,355000,350400,348500,348400,348400,347100,345600,344400,343800,343700,345500,349800,357400,365900,371300,376100,382200,388100,393200,398000,402500,408200,415000,422400,429000,433800,439500,444800,447000,447300,449500,451300,452900,454400,457200,460000,462300,463700,464700,465600,466400,468700,471000,473800,477100,481500,484600,486400,487600,489100,491200,493500,495900,498300,501300,505400,510900,516100,519100,521300,523400,524500,525200,527400,530400,534000,537500,541900,547200,551800,555300,557300,557400,558900,562200,564600,567900,572500,576400,579400
La Puente,39816,CA,1105,132000,130900,130300,129900,130000,130200,130100,130100,130400,131300,132200,133000,133600,133700,133700,133800,133700,133500,133300,133300,133500,134000,134500,135100,136000,137200,137900,137700,137400,137400,137600,138200,138500,138200,137800,138000,138400,138900,139300,139900,140600,141000,141600,142700,143700,144700,146000,147400,148500,149800,151400,153300,154900,156400,157900,159000,160200,161800,163200,164500,166000,167600,168900,169900,170700,172000,173700,175600,177400,179200,181300,183700,186100,188000,189800,192200,195500,199000,202200,205500,209300,213100,216900,220500,224000,227500,231300,234400,237200,240500,244800,249400,254700,260800,266900,272800,279700,287900,296700,306000,315700,324800,332400,338600,344100,349700,355500,361800,368400,374400,380100,386700,394100,401500,409000,416800,423100,426900,430200,435200,440100,445100,451500,457500,460100,460100,459200,458300,456800,455000,454200,453800,452600,450400,447500,444000,440100,435900,431900,428000,422200,415000,405900,395000,384200,374900,363600,351300,340600,331700,322700,313800,304100,294400,285400,277000,268200,259100,251100,246000,243400,242000,241800,242000,246400,255500,264700,269600,273000,275800,279200,281100,281500,281300,280900,279400,276700,272600,269500,267900,266200,264500,263000,261800,260100,258100,257200,256900,256100,254700,254100,255600,259100,262500,266000,268800,270500,271700,272600,275300,279500,283400,286200,290600,295900,302100,308400,315200,322700,330000,335100,339100,341900,343600,345100,346900,348300,349700,350700,352800,355000,356500,357600,358000,359100,361700,363800,365400,368400,371900,373900,375100,376800,379200,381900,384400,386100,387400,389200,391500,394000,396500,399100,402100,404700,406700,408700,410700,413100,415700,419500,422500,424300,426800,430700,433700,436300,439900,443900,447400,448700,449300,450500
La Verne,31063,CA,1933,188900,187400,186200,185400,185200,185800,186500,187200,188300,189400,190500,192100,193800,194800,194400,193500,193100,193300,193700,193600,193100,193300,194600,197000,199500,201700,204200,206900,209200,211400,213500,215500,217800,220600,222800,223900,224700,226000,227400,229000,230300,230500,230600,231800,233500,235800,238100,239300,240200,242700,245800,248300,250500,252600,254200,256400,259700,263000,266000,268700,271400,274500,278800,282400,283600,284000,286000,289100,293000,298100,303700,309000,313500,316500,318700,322200,326800,331900,337500,342500,344900,346100,348500,352500,357000,361700,366400,371600,378500,387700,397500,406300,415600,424700,431700,438700,448200,458700,468500,477400,486700,495000,501400,507100,512500,516500,521100,527400,534000,539800,546000,555100,565500,573700,580100,587000,593200,597400,600300,602300,603500,604300,605300,604700,602000,599000,596100,593700,592100,592100,591600,590000,589800,591400,590300,586500,582100,577300,570900,563300,555100,548300,541300,531800,521400,511600,502200,494900,489700,485200,481300,478100,475700,473600,470200,466100,462300,458000,454200,452000,450000,448800,450100,452100,450700,448300,450800,453500,455000,456800,459400,457200,454700,452500,450500,447800,448200,448600,447800,446600,443400,437100,430600,425700,421100,416400,411400,406900,404600,403800,403900,405400,407500,408900,411200,415100,419300,422500,425000,428800,432500,435200,437500,442100,446300,453700,463800,474400,481200,487200,491000,493300,495400,499000,501000,502300,506400,511800,516900,522500,528700,535500,543200,549700,553500,555200,558200,564400,571000,577100,583300,588400,589400,588200,588400,590400,592600,593900,595600,598600,603100,605900,601200,594000,593700,599500,604900,609500,613800,619100,622800,623200,624200,626800,628400,629400,631700,634700,637800,641700,646700,652300,656200
