RegionID,RegionName,SizeRank,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
36,North Carolina,10,149300,149000,148700,148200,147700,147200,146600,146100,145700,145400,145200,144900,144300,143600,143100,142600,142100,141500,141000,140500,140000,139500,139100,138900,138600,138300,137800,137300,137100,137000,136900,136600,136000,135500,135200,135000,135100,135300,135400,135300,135200,135200,135200,135300,135500,135800,136000,136100,136400,136700,137000,137300,137700,138100,138400,138800,139200,139500,139600,139900,140200,140400,140700,141100,141300,141300,141400,141400,141600,141700,141800,141900,142100,142400,142900,143500,144300,145100,145600,146000,146300,146700,147300,147700,148000,148300,148900,149700,150600,151200,151800,152500,153300,154200,155300,156100,156600,157400,158700,159500,160300,161100,161900,162800,163800,164700,165500,166400
37,North Dakota,47,141000,142400,144000,145500,147100,148400,148700,148400,148500,148900,148500,151500,157100,160500,160100,159700,159000,158800,159000,159100,159100,159600,160300,160100,159600,159300,159500,159100,158500,157900,158800,161000,163100,164000,164600,164900,165000,165200,165800,166700,168000,169300,170600,171700,172300,173100,174400,175200,175400,175800,176600,177700,178700,179600,180600,181500,182400,183500,184400,185000,185300,185700,186400,187300,188600,190000,191100,191600,192000,192500,193200,193400,193600,194800,197100,199000,200300,201400,202700,203400,203300,202900,202700,202300,201800,201900,202200,202800,203500,204000,203700,203600,203600,203800,204300,204400,203100,202100,202000,201900,201500,201500,201400,201200,201100,201300,201300,201300
44,Ohio,7,116500,116300,115900,115500,114900,114500,114000,113700,113600,113600,113400,113300,113600,113400,112900,112500,112300,112200,112100,111800,111300,110500,109800,109400,108900,108400,108200,107900,107600,107400,107200,107000,106700,106500,106200,105900,105600,105600,105900,106200,106400,106600,106700,106900,106900,106800,107000,107200,107500,107700,107800,107900,108100,108400,108700,108900,109200,109500,109800,110000,110100,110400,110900,111300,111500,111800,112100,112100,112200,112500,112800,113100,113200,113600,114100,114500,115000,115600,116100,116700,117400,117900,118300,118400,118700,118900,119100,119600,120300,120600,120800,121300,121900,122400,123200,124100,124900,125500,126000,126400,126800,127300,127900,128500,129200,130000,130400,130700
45,Oklahoma,27,87600,87700,88100,88400,88500,88800,89100,89200,89300,89500,89300,90700,93400,94600,94100,94200,94400,94500,94600,94900,95200,95500,95700,95600,95200,95000,95000,95100,95200,95100,94900,94800,94600,94400,94400,94300,94100,94000,94000,94000,94100,94200,94200,94300,94300,94300,94600,94800,94600,94600,94800,94800,95000,95400,95800,95900,95700,95600,95600,95500,95200,95000,95300,95700,96000,96000,96200,96600,96700,96900,97300,97600,97900,98400,99300,100200,101500,102800,104000,105300,106700,107900,108700,109100,109400,109900,110400,110800,111100,111400,111700,112000,112300,112900,113600,114200,114800,115800,116600,116400,115300,115000,115400,115900,116300,116800,117200,117100
46,Oregon,26,240500,239500,237600,235400,233100,231000,229100,227800,226600,225600,224800,223700,222000,220100,218900,217800,216400,214400,212100,210000,208200,206800,206000,205000,203800,202400,200800,198900,197300,196300,195600,194700,193900,193300,192900,192600,192200,192200,192600,193300,193800,194300,194900,195900,196900,197900,198500,198800,199700,201400,203500,206000,208700,211300,213700,215800,217200,218100,219300,220900,222800,224200,225300,226300,227500,228800,230000,231200,232500,233800,234900,236100,237500,239000,240700,242900,245700,248400,250900,253400,256100,258700,261100,263400,266000,268500,271200,274200,277200,280200,283300,286300,289100,291900,294200,296500,298900,301300,303300,305400,307800,310100,311800,313500,315300,316500,317900,319700
47,Pennsylvania,6,153400,153600,153700,153600,153400,153000,152600,152400,152100,151900,151700,151800,152200,152200,151800,151500,151200,150800,150300,149600,148900,148200,147800,147600,147300,146900,146600,145900,145300,144900,144600,144400,144200,143900,143600,143000,142600,142500,142600,142500,142400,142500,142700,142700,142700,143000,143500,143900,143900,143800,143900,144100,144500,144600,144600,144700,144900,144800,144700,144800,145000,145100,145300,145700,146200,146500,146600,146600,146600,146600,146500,146700,146900,146800,146800,147300,148000,148600,149100,149600,150100,150600,150800,150700,150900,151600,152300,152700,152900,153300,154000,154800,155300,155700,156100,156600,156900,157300,157800,158200,158800,159400,159800,160200,161000,161900,162600,163000
50,Rhode Island,42,238600,237200,235800,234100,232100,230400,229600,229500,229200,228800,228300,227800,227400,227200,227000,227000,227000,226000,224300,222700,221200,219600,218200,217200,216800,216800,216700,216100,214800,213500,212000,210700,210100,209700,208200,206100,204600,203800,203300,202700,202500,203100,204200,204500,204200,204700,206200,207500,208300,208600,208600,209000,210000,211100,211900,212000,212100,212100,212200,212600,212600,212200,212800,214400,216400,217900,218900,219300,218600,217900,218200,219100,219300,219400,219900,221000,222400,224100,225400,226700,228300,229700,230600,231300,232300,233700,235000,236000,236600,236900,237400,238900,241100,243000,244500,245600,246800,248300,249800,251400,253200,254500,255800,257700,260100,262200,264200,266900
51,South Carolina,24,133400,133800,134100,134300,134500,134500,134300,133900,133500,133000,132700,131900,130600,129600,129200,128600,128200,127800,127400,126900,126500,126000,125500,125000,124800,124600,124100,123700,123200,122600,122000,121600,121300,121100,120900,121000,121000,120700,120100,120000,120200,120400,120100,119900,120200,120400,120300,120600,121300,121600,121600,121900,122400,122600,122500,122300,122500,123000,123100,123500,124300,124500,124000,124200,124700,125000,124900,125000,125300,125700,126300,125400,123400,122400,122800,123500,124400,124400,126500,128500,127500,126100,127000,127800,128100,130100,134000,134300,132900,134800,137100,137400,138600,139800,140300,141000,142200,143200,143600,144100,144700,145000,144700,145100,146100,147100,147500,148500
52,South Dakota,45,145800,146200,146200,146300,146300,145900,145600,145300,145000,145200,146900,145900,142200,139900,140200,140200,139900,139500,139300,139000,138800,138800,138600,138800,139500,139600,139200,139000,138900,138600,138600,138600,138400,138100,137500,137400,138200,139100,139300,139400,139700,140500,141300,141800,142400,143100,143400,143600,143900,144200,144400,144700,145100,145600,146000,146200,146300,146400,146200,145800,145600,145600,145800,146300,146900,147300,147800,148500,149300,149800,150100,150700,151700,152900,154100,155300,156400,157100,157600,158300,159500,160800,161800,163300,164900,166300,166700,166100,165400,165500,166100,166800,166900,166600,166700,167400,168100,168900,169800,171200,172500,173300,173900,174800,176100,177100,178300,180400
53,Tennessee,17,119600,119700,119700,119600,119500,119400,119200,119100,119000,118800,118600,118500,118300,118000,117700,117300,116900,116700,116300,115900,115700,115400,115100,114800,114700,114500,114300,114300,114300,114300,114200,114000,113600,113500,113500,113600,113500,113300,113200,113300,113500,113700,114000,114300,114500,114700,114900,115000,115200,115600,116000,116100,116400,116600,116700,117000,117200,117400,117500,117700,118100,118400,118900,119600,120100,120500,120900,121000,121000,121100,121100,121200,121500,122000,122400,122900,123400,123800,124300,124700,125300,126100,126800,127200,127500,127900,128400,129100,129800,130300,130900,131700,132700,133700,134800,136000,137000,137800,138700,139800,140900,142000,142900,143900,144800,145500,146200,146900
